Absolute path,Relative path,Class name
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0000.jpg,dataset\rose\0000.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0001.jpg,dataset\rose\0001.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0002.jpg,dataset\rose\0002.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0003.jpg,dataset\rose\0003.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0004.jpg,dataset\rose\0004.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0005.jpg,dataset\rose\0005.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0006.jpg,dataset\rose\0006.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0007.jpg,dataset\rose\0007.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0008.jpg,dataset\rose\0008.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0009.jpg,dataset\rose\0009.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0010.jpg,dataset\rose\0010.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0011.jpg,dataset\rose\0011.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0012.jpg,dataset\rose\0012.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0013.jpg,dataset\rose\0013.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0014.jpg,dataset\rose\0014.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0015.jpg,dataset\rose\0015.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0016.jpg,dataset\rose\0016.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0017.jpg,dataset\rose\0017.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0018.jpg,dataset\rose\0018.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0019.jpg,dataset\rose\0019.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0020.jpg,dataset\rose\0020.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0021.jpg,dataset\rose\0021.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0022.jpg,dataset\rose\0022.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0023.jpg,dataset\rose\0023.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0024.jpg,dataset\rose\0024.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0025.jpg,dataset\rose\0025.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0026.jpg,dataset\rose\0026.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0027.jpg,dataset\rose\0027.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0028.jpg,dataset\rose\0028.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0029.jpg,dataset\rose\0029.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0030.jpg,dataset\rose\0030.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0031.jpg,dataset\rose\0031.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0032.jpg,dataset\rose\0032.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0033.jpg,dataset\rose\0033.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0034.jpg,dataset\rose\0034.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0035.jpg,dataset\rose\0035.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0036.jpg,dataset\rose\0036.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0037.jpg,dataset\rose\0037.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0038.jpg,dataset\rose\0038.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0039.jpg,dataset\rose\0039.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0040.jpg,dataset\rose\0040.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0041.jpg,dataset\rose\0041.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0042.jpg,dataset\rose\0042.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0043.jpg,dataset\rose\0043.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0044.jpg,dataset\rose\0044.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0045.jpg,dataset\rose\0045.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0046.jpg,dataset\rose\0046.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0047.jpg,dataset\rose\0047.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0048.jpg,dataset\rose\0048.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0049.jpg,dataset\rose\0049.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0050.jpg,dataset\rose\0050.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0051.jpg,dataset\rose\0051.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0052.jpg,dataset\rose\0052.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0053.jpg,dataset\rose\0053.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0054.jpg,dataset\rose\0054.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0055.jpg,dataset\rose\0055.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0056.jpg,dataset\rose\0056.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0057.jpg,dataset\rose\0057.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0058.jpg,dataset\rose\0058.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0059.jpg,dataset\rose\0059.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0060.jpg,dataset\rose\0060.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0061.jpg,dataset\rose\0061.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0062.jpg,dataset\rose\0062.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0063.jpg,dataset\rose\0063.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0064.jpg,dataset\rose\0064.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0065.jpg,dataset\rose\0065.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0066.jpg,dataset\rose\0066.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0067.jpg,dataset\rose\0067.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0068.jpg,dataset\rose\0068.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0069.jpg,dataset\rose\0069.jpg,rose
C:\Users\PCmen\Desktop\Lab3Py\dataset\rose\0070.jpg,dataset\rose\0070.jpg,rose
